M:VariousPossibleCalls:<init>() (O)java.lang.Object:<init>()
M:VariousPossibleCalls:main(java.lang.String[]) (S)java.lang.Math:random()
M:VariousPossibleCalls:main(java.lang.String[]) (S)VariousPossibleCalls:foo()
M:VariousPossibleCalls:main(java.lang.String[]) (S)VariousPossibleCalls:foo2()
M:VariousPossibleCalls:main(java.lang.String[]) (S)VariousPossibleCalls:foo3(int)
M:VariousPossibleCalls:main(java.lang.String[]) (O)VariousPossibleCalls:<init>()
M:VariousPossibleCalls:main(java.lang.String[]) (S)VariousPossibleCalls:goo(int)
M:VariousPossibleCalls:main(java.lang.String[]) (S)VariousPossibleCalls:goo2()
M:VariousPossibleCalls:main(java.lang.String[]) (S)VariousPossibleCalls:goo3()
M:VariousPossibleCalls:main(java.lang.String[]) (S)VariousPossibleCalls:foo4()
M:VariousPossibleCalls:foo() (M)java.io.PrintStream:println(java.lang.String)
M:VariousPossibleCalls:foo2() (M)java.io.PrintStream:println(java.lang.String)
M:VariousPossibleCalls:foo3(int) (M)java.io.PrintStream:println(java.lang.String)
M:VariousPossibleCalls:foo4() (M)java.io.PrintStream:println(java.lang.String)
M:VariousPossibleCalls:goo(int) (M)java.io.PrintStream:println(java.lang.String)
M:VariousPossibleCalls:goo(int) (S)VariousPossibleCalls:foo3(int)
M:VariousPossibleCalls:goo2() (M)java.io.PrintStream:println(java.lang.String)
M:VariousPossibleCalls:goo2() (S)VariousPossibleCalls:foo()
M:VariousPossibleCalls:goo3() (M)java.io.PrintStream:println(java.lang.String)
M:VariousPossibleCalls:neverUsedStatic() (M)java.io.PrintStream:println(java.lang.String)
M:VariousPossibleCalls:neverUsedEither() (M)java.io.PrintStream:println(java.lang.String)
