"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L113","M","M","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","3","1","7","2","1","0","0","1","0","20","41","0","1","0.5","0.166667","1","1","1","1","0.166667","1","0","0","0","0","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L136","Base","Base","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","14","1","19","2","1","0","0","1","1","1","0","1","2","0","0","0","0","0","2","0","0","0","0","1","4","0","5","6","0","0","0","0","1","0","1","0","1","1","0","1","0","5","6","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L140","Abstract","Abstract","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","21","1","25","2","1","0","0","1","3","3","1","1","2","0","0","0","0","0","2","0","0","1","2","2","3","2","5","5","0","0","0","0","1","0","1","0","3","1","0","3","0","5","5","0","0","0","0","1","0","1","0","3","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L148","Child1","Child1","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","27","1","37","2","3","0","0","3","3","5","3","1","4","0","0","0","0","0","4","0","0","2","3","1","1","2","11","11","0","0","0","0","3","0","3","0","4","3","0","4","0","11","11","0","0","0","0","3","0","3","0","4","3","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L156","Child2","Child2","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","39","1","43","2","1","0","0","1","3","2","0","1","2","0","0","0","0","0","2","0","0","2","3","0","0","2","5","5","0","0","0","0","1","0","1","0","3","1","0","3","0","5","5","0","0","0","0","1","0","1","0","3","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L159","Helper","Helper","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","46","1","59","2","3","0","0","3","3","2","3","2","5","0","0","0","0","0","4","0","0","0","0","0","0","0","14","14","0","0","0","0","3","0","3","0","3","6","0","3","0","14","14","0","0","0","0","3","0","3","0","3","6","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L173","Generic1<T extends Interface>","Generic1","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","62","1","67","2","1","0","0","1","2","5","4","2","3","0","0","0","0","0","2","0","0","0","0","2","2","0","6","6","0","0","0","0","1","0","1","0","1","2","0","1","0","6","6","0","0","0","0","1","0","1","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L180","Generic2<T extends Interface, K extends Generic1<T>>","Generic2","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","69","1","76","2","1","0","0","1","3","2","3","3","4","0","0","0","0","0","2","0","0","0","0","0","0","0","7","8","0","0","0","0","1","0","1","0","1","3","0","1","0","7","8","0","0","0","0","1","0","1","0","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L197","Generic3","Generic3","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","78","1","83","2","1","0","0","1","3","1","1","2","3","0","0","0","0","0","2","0","0","1","1","0","0","1","6","6","0","0","0","0","1","0","1","0","2","2","0","2","0","6","6","0","0","0","0","1","0","1","0","2","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L204","Outer","Outer","L104","L103","d:\Users\epengo\Documents\ovrt\Java_samples_outer2\analdir\CallEdgeExamples.java","85","1","106","2","1","0","0","1","2","1","1","2","3","0","0","0","0","0","2","0","0","0","0","0","0","0","6","8","0","0","0","0","1","0","1","0","1","2","0","1","0","19","22","0","0","0","0","4","0","4","0","4","5","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
